,default,ace,beego,bone,denco,echov1,echov2standard,echov2fasthttp,fasthttp-raw,fasthttprouter,fasthttp-routing,gin,gocraftWeb,goji,gojiv2,gojsonrest,gorestful,gorilla,httprouter,httptreemux,iris,lars,lion,macaron,martini,pat,possum,r2router,tango,tiger,traffic,vulcan
100,30.32,30.32,30.33,30.32,30.32,30.32,30.33,30.30,30.30,30.30,30.31,30.32,30.33,30.32,30.32,30.33,30.34,30.33,30.32,30.32,30.31,30.33,30.32,30.33,30.35,30.32,30.34,30.32,30.32,30.32,30.33,30.33
1000,31.34,31.43,31.62,31.32,31.29,31.24,31.77,30.70,30.57,30.52,30.54,31.41,31.75,31.42,31.56,32.57,34.68,31.97,31.23,31.35,30.55,31.42,31.35,32.85,33.84,31.45,34.17,31.49,31.54,31.45,32.78,31.31
5000,99.17,92.00,99.94,87.20,94.71,95.63,106.22,80.14,77.61,76.09,67.69,85.27,101.77,105.86,100.53,81.61,121.23,106.14,94.95,86.47,72.64,96.36,81.21,102.71,109.39,92.26,136.47,88.57,101.93,96.88,84.96,101.67
