,default,ace,beego,bone,denco,echov1,echov2standard,echov2fasthttp,fasthttp-raw,fasthttprouter,fasthttp-routing,gin,gocraftWeb,goji,gojiv2,gojsonrest,gorestful,gorilla,httprouter,httptreemux,iris,lars,lion,macaron,martini,pat,possum,r2router,tango,tiger,traffic,vulcan
0 ms,155.41,138.99,147.67,152.57,135.61,115.62,135.61,58.84,1.35,35.61,53.99,121.30,151.34,134.57,142.41,150.20,130.99,95.90,149.26,117.67,18.60,166.93,144.28,138.46,93.15,112.18,183.67,153.84,140.54,135.55,144.91,158.19
10 ms,79.14,85.14,95.96,93.12,76.01,89.54,84.01,86.29,55.77,77.18,84.69,73.42,80.53,77.08,81.71,103.31,101.71,98.90,82.24,74.21,56.13,70.78,73.84,101.54,89.84,78.83,139.75,87.30,76.55,66.36,89.01,95.94
100 ms,128.99,135.34,132.14,131.36,132.02,133.51,133.84,118.24,110.40,113.58,110.31,131.83,135.77,131.38,130.94,142.61,157.29,139.66,126.81,126.50,110.03,132.57,128.95,145.53,141.81,133.63,167.95,133.55,134.36,130.89,131.92,135.81
500 ms,503.14,502.98,502.97,502.34,502.38,502.59,504.03,501.82,501.44,502.00,502.00,502.88,503.32,504.80,503.32,503.56,505.09,503.48,503.15,502.33,501.81,502.81,504.08,504.16,504.50,502.74,504.42,503.21,502.72,505.20,504.94,503.88
