,default,ace,beego,bone,denco,echov1,echov2standard,echov2fasthttp,fasthttp-raw,fasthttprouter,fasthttp-routing,gin,gocraftWeb,goji,gojiv2,gojsonrest,gorestful,gorilla,httprouter,httptreemux,iris,lars,lion,macaron,martini,pat,possum,r2router,tango,tiger,traffic,vulcan
100,3161.13,3161.89,3161.59,3161.28,3161.50,3163.39,3163.40,3164.20,3164.02,3164.76,3164.35,3162.06,3160.37,3163.45,3163.25,3161.30,3160.10,3163.48,3161.84,3160.71,3161.42,3163.19,3163.17,3161.57,3160.05,3164.02,3160.54,3163.26,3162.24,3159.82,3162.38,3163.43
1000,31146.99,31472.24,31134.50,31729.66,31824.19,31309.81,31134.10,32110.60,32465.45,32129.95,32274.55,31223.20,31267.06,31558.49,31226.64,30029.61,28710.91,30597.79,31717.97,31508.89,32368.72,31340.91,31472.64,30269.43,29192.89,31492.83,8147.84,31413.27,30676.01,31407.60,30105.54,31649.04
5000,40627.33,39773.98,37526.89,41095.73,40750.56,39909.33,37495.96,47996.25,50764.31,50586.13,49330.14,40551.81,38820.33,39780.32,39356.36,35800.81,30984.00,36456.73,41081.94,40818.19,50252.25,40148.48,39965.68,34145.97,31153.06,40622.01,7470.44,40475.32,39218.17,40306.88,35275.02,39825.30
