,default,ace,beego,bone,chi,denco,echov3,fasthttp-raw,fasthttprouter,fasthttp-routing,gin,goji,gojsonrest,golf,gongular,gorestful,gorilla,go-ozzo,gramework,httprouter,httptreemux,lars,lion,macaron,martini,neo,pat,r2router,tango,tiger,traffic,vulcan
0 ms,481044.62,482229.04,432549.41,490215.58,463097.91,490059.37,475196.99,844171.81,824423.22,826041.13,484158.89,424311.98,403189.82,478602.74,299989.61,350326.11,354105.77,477434.97,819755.05,486143.64,487338.18,485838.75,461327.68,403723.65,349135.59,352755.05,481666.08,469906.44,469301.49,483308.76,400784.59,471268.27
10 ms,374344.43,365665.11,336753.65,365820.80,357356.31,376975.79,359614.00,456604.85,444899.91,448237.58,367284.28,346039.16,321006.06,362987.22,268146.53,294349.28,311359.62,366201.29,423498.04,374805.30,374380.81,367481.10,359356.75,317594.85,285724.62,304355.73,371759.54,368224.75,358317.36,372516.25,317659.22,367297.80
100 ms,49099.75,49368.58,48913.93,49401.16,49286.65,48714.99,48660.43,48886.87,49165.96,49386.36,49262.96,49133.78,49108.96,49213.31,48357.21,48367.40,48764.85,49423.30,47980.58,48999.43,48430.93,48253.55,49294.07,49425.04,48803.11,47725.80,49080.13,49392.69,49361.57,49125.34,49394.59,48717.55
500 ms,9751.47,9776.95,9759.92,9788.10,9726.10,9740.81,9721.40,9811.21,9773.40,9755.18,9713.88,9699.18,9770.23,9661.72,9696.19,9753.70,9660.35,9785.04,9693.51,9774.96,9797.84,9724.49,9423.36,9659.39,9742.13,9757.94,9629.68,9777.26,9650.71,9654.59,9771.43,9691.56
