,default,atreugo,beego,bone,chi,clevergo,denco,echo,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,flygo,fresh,gear,gearbox,gin,goframe,goji,gojsonrest,gongular,gorestful,gorilla,gorouter,gorouterfasthttp,go-ozzo,gowww,httprouter,httptreemux,lars,lion,martini,muxie,negroni,neo,pat,pure,r2router,tango,tiger,tinyrouter,traffic,violetear,vulcan,webgo,goyave
100,834.58,841.59,835.29,838.81,843.25,837.09,839.85,841.74,847.36,857.12,775.93,844.61,847.47,868.42,,826.02,831.64,845.75,834.82,822.42,842.23,838.11,839.01,837.88,801.66,839.01,841.69,834.17,840.50,841.04,842.10,831.08,843.26,813.54,755.01,840.66,825.61,848.03,838.70,818.28,842.51,847.54,833.40,841.85,843.90,837.84,826.34,811.82
1000,831.13,827.17,829.12,840.38,744.28,833.03,839.64,803.84,833.17,835.86,836.18,832.35,841.05,784.83,,834.66,813.86,809.71,834.55,817.68,838.29,833.11,827.39,786.42,841.62,837.58,839.44,833.97,840.97,838.71,840.51,839.97,840.94,808.67,826.72,831.15,845.56,849.44,846.05,833.84,849.60,837.48,828.66,840.01,834.82,841.81,819.58,812.26
5000,836.88,822.34,828.37,839.59,844.31,843.51,834.58,801.61,843.75,854.83,836.53,837.07,835.71,829.61,,827.37,807.23,834.69,824.76,817.51,827.13,821.90,827.22,835.56,842.66,822.51,831.27,846.24,831.09,831.89,830.84,833.52,829.24,852.68,797.65,830.30,786.49,788.96,827.52,832.10,829.46,837.14,838.13,844.36,834.89,831.57,801.98,819.20
