,default,atreugo,beego,bone,chi,denco,echov3,fasthttp-raw,fasthttprouter,fasthttp/router,fasthttp-routing,fastrouter,fresh,gear,gin,goji,gojsonrest,gongular,gorestful,gorilla,go-ozzo,gowww,gramework,httprouter,httptreemux,lars,lion,martini,negroni,neo,pat,pure,r2router,tango,tiger,tinyrouter,traffic,violetear,vulcan,webgo
0 ms,73450.94,701703.21,80472.52,75836.64,72050.01,75429.26,43654.38,757494.31,713915.26,714486.76,598152.31,73279.33,30773.18,56560.55,80065.93,69646.98,67503.10,75526.48,75006.80,74126.66,73773.10,92516.78,18549.76,75525.02,76868.52,75432.48,73248.09,57998.36,71903.27,79759.22,74360.78,77009.44,72865.01,79896.30,63351.54,76207.40,73917.96,76046.53,76207.36,69145.06
10 ms,73728.10,691522.35,81544.01,75140.02,71562.85,76255.20,43422.95,758001.41,703116.23,707079.01,593685.12,74290.26,30467.82,55789.49,79605.55,70268.26,67249.23,75545.27,75858.32,73793.07,73129.12,93800.87,18099.07,72187.90,75333.26,75764.93,72600.24,58517.18,71960.00,79187.32,74881.40,75098.85,72206.19,79095.60,64103.26,75653.19,73456.85,75394.41,75577.93,69685.52
100 ms,73038.67,699076.70,81484.57,75339.90,72368.59,75052.22,43560.55,753631.28,694402.83,713386.70,598975.91,74004.55,30819.88,53849.45,80113.00,70898.22,67363.52,76362.24,76004.76,73957.57,73921.30,93475.31,18493.82,75123.73,76027.10,75026.10,73292.03,56994.34,71287.44,79274.52,73897.05,76432.33,72890.66,79971.25,63573.13,76509.92,74758.40,75240.31,76765.27,69074.49
500 ms,73686.14,692154.95,82549.67,74514.48,72464.15,75693.57,43305.78,758831.08,698624.98,709017.27,595608.19,73742.32,30953.84,54077.57,80694.37,70007.57,67640.79,75568.71,76115.38,73941.41,73833.35,93397.53,18179.07,75830.30,75642.42,75657.93,72636.03,58111.68,72104.80,79097.42,73622.09,75150.38,72837.38,79168.65,64212.90,76114.37,74095.94,75951.81,75890.88,68895.19
