,default,ace,beego,bone,chi,denco,echov3,fasthttp-raw,fasthttprouter,fasthttp-routing,gin,goji,gojsonrest,golf,gongular,gorestful,gorilla,go-ozzo,gramework,httprouter,httptreemux,lars,lion,macaron,martini,neo,pat,r2router,tango,tiger,traffic,vulcan
100,3184.29,3183.76,3182.13,3184.48,3183.16,3184.39,3182.93,3185.15,3185.12,3184.73,3182.67,3182.60,3182.25,3182.58,3180.83,3181.55,3182.67,3182.92,3184.61,3182.17,3184.62,3182.40,3182.79,3182.12,3181.26,3182.06,3182.74,3184.42,3182.58,3182.56,3182.37,3183.12
1000,32897.92,32901.60,32893.81,32899.17,32895.65,32816.51,32896.66,32910.60,32913.45,32911.05,32898.36,32890.49,32890.14,32886.31,32850.43,32881.21,32798.97,32891.87,32913.04,32898.64,32815.53,32901.52,32896.67,32883.20,32877.05,32888.56,32903.25,32897.99,32898.02,32896.20,32881.08,32811.30
5000,160872.93,161742.02,158036.42,160102.48,160833.55,160952.84,161429.58,163902.28,163088.29,163643.61,163366.08,161975.56,155881.07,161649.62,151129.81,159938.52,162595.67,159318.43,163147.17,162495.16,162840.02,162464.56,161368.41,157675.03,160284.29,157188.73,161682.80,161256.65,161253.48,159637.94,162809.77,158636.92
