,default,atreugo,beego,bone,chi,clevergo,denco,echo,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,flygo,fresh,gear,gearbox,gin,goframe,goji,gojsonrest,gongular,gorestful,gorilla,gorouter,gorouterfasthttp,go-ozzo,gowww,httprouter,httptreemux,lars,lion,martini,muxie,negroni,neo,pat,pure,r2router,tango,tiger,tinyrouter,traffic,violetear,vulcan,webgo,goyave
100,3092.45,3088.62,3090.29,3090.69,3091.97,3090.05,3092.07,3090.36,3078.98,3093.77,3065.50,3080.27,3088.57,3104.31,,3048.78,3069.46,3065.46,3090.90,3083.79,3091.35,3089.51,3079.62,3086.98,3091.37,3091.23,3081.78,3092.89,3088.87,3088.47,3092.04,3092.36,3093.14,3088.30,3091.76,3089.29,3092.29,3088.94,3092.90,3091.47,3091.77,3091.44,3089.67,3089.48,3093.00,3091.86,3089.26,3090.04
1000,29627.56,31758.87,30488.77,29522.97,30332.50,30346.08,30194.20,29733.14,31043.55,30722.53,31027.97,31584.52,29866.42,31921.82,,28663.18,29899.52,31650.32,29728.72,29430.82,29819.11,30371.16,30114.87,26406.77,29021.74,30219.16,31041.28,30315.27,30479.56,30191.19,29694.24,30104.90,29143.56,29851.59,30286.32,30845.92,29280.73,29607.96,30382.06,30359.25,29759.76,29704.58,29941.88,30269.77,29272.56,30646.31,29460.38,30832.36
5000,30419.16,32118.01,30812.77,30515.76,30198.05,30587.62,30342.14,30265.19,31012.40,31941.26,30573.18,31686.89,29867.12,32332.29,,29036.25,30203.14,31770.46,29910.52,29891.23,30076.15,30040.24,28987.48,26450.04,30211.57,30193.48,30532.20,30379.15,30242.49,30769.03,29549.34,30739.42,30162.44,29983.16,29613.98,30432.35,29564.67,29809.39,30329.65,29731.01,29410.25,30086.21,29485.21,30119.37,30387.01,30935.97,30696.22,30442.82
