,default,atreugo,beego,bone,chi,denco,echov3,fasthttp-raw,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fresh,gear,gin,goji,gojsonrest,gongular,gorestful,gorilla,go-ozzo,gowww,gramework,httprouter,httptreemux,lars,lion,martini,muxie,negroni,neo,pat,pure,r2router,tango,tiger,tinyrouter,traffic,violetear,vulcan,webgo
100,30.16,30.14,30.16,30.15,30.16,30.15,30.15,30.14,30.15,30.14,30.14,30.16,30.18,30.17,30.15,30.16,30.16,30.18,30.17,30.16,30.16,30.16,30.21,30.16,30.16,30.15,30.15,30.17,30.16,30.16,30.16,30.15,30.15,30.16,30.16,30.15,30.15,30.16,30.16,30.16,30.16
1000,30.14,30.12,30.14,30.14,30.15,30.14,30.14,30.11,30.12,30.11,30.12,30.14,30.42,30.21,30.14,30.21,30.16,30.21,30.55,30.15,30.14,30.14,30.17,30.14,30.14,30.14,30.15,30.18,30.14,30.14,30.16,30.15,30.15,30.14,30.14,30.14,30.14,30.16,30.14,30.14,30.17
5000,30.70,30.43,31.50,30.81,30.90,30.52,30.91,30.26,30.28,30.29,30.39,30.83,100.54,34.70,30.93,32.23,32.40,65.07,33.66,30.60,30.69,30.59,32.06,30.87,30.72,30.99,30.56,32.53,30.76,31.22,31.48,30.79,30.78,30.96,31.05,30.63,30.56,32.38,30.88,31.19,30.70
